ID,Species,Island,Sex
325,Gentoo Penguin,Biscoe,
326,Gentoo Penguin,Biscoe,MALE
327,Gentoo Penguin,Biscoe,FEMALE
328,Gentoo Penguin,Biscoe,MALE
329,Gentoo Penguin,Biscoe,FEMALE
330,Gentoo Penguin,Biscoe,MALE
331,Gentoo Penguin,Biscoe,FEMALE
332,Gentoo Penguin,Biscoe,MALE
333,Gentoo Penguin,Biscoe,FEMALE
334,Gentoo Penguin,Biscoe,MALE
335,Gentoo Penguin,Biscoe,FEMALE
336,Gentoo Penguin,Biscoe,MALE
337,Gentoo Penguin,Biscoe,.
338,Gentoo Penguin,Biscoe,MALE
339,Gentoo Penguin,Biscoe,FEMALE
340,Gentoo Penguin,Biscoe,
341,Gentoo Penguin,Biscoe,FEMALE
342,Gentoo Penguin,Biscoe,MALE
343,Gentoo Penguin,Biscoe,FEMALE
344,Gentoo Penguin,Biscoe,MALE
